"Region,Family_Type,Total_Families,Total_Cannot_Afford,Total_Percent_Cannot_Afford,Owner_Families,Owner_Cannot_Afford,Owner_Percent_Cannot_Afford,Renter_Families,Renter_Cannot_Afford,Renter_Percent_Cannot_Afford"
"UNITED STATES,Total,132183,75983,57.5,84610,31635,37.4,47573,44348,93.2"
"UNITED STATES,Families,80330,39960,49.7,58320,19512,33.5,22010,20448,92.9"
"UNITED STATES,Married-couple families,56992,22107,38.8,46368,12851,27.7,10624,9256,87.1"
"UNITED STATES,With children under 18 years,23733,11813,49.8,18066,6735,37.3,5667,5079,89.6"
"UNITED STATES,With no children under 18 years,33260,10293,30.9,28302,6116,21.6,4958,4177,84.2"
"UNITED STATES,Male householder no wife present,6046,4414,73.0,3369,1816,53.9,2676,2598,97.1"
"UNITED STATES,With children under 18 years,3036,2472,81.4,1533,1011,65.9,1503,1460,97.1"
"UNITED STATES,With no children under 18 years,3010,1943,64.6,1837,805,43.8,1173,1137,96.9"
"UNITED STATES,Female householder no husband present,17292,13439,77.7,8583,4845,56.4,8710,8595,98.7"
"UNITED STATES,With children under 18 years,11116,9749,87.7,4492,3190,71.0,6625,6559,99.0"
"UNITED STATES,With no children under 18 years,6176,3690,59.7,4091,1655,40.5,2085,2035,97.6"
"UNITED STATES,Unrelated individuals,51853,36022,69.5,26290,12123,46.1,25562,23900,93.5"
"UNITED STATES,Male,25617,18589,72.6,11958,5937,49.6,13659,12653,92.6"
"UNITED STATES,Female,26235,17433,66.4,14332,6186,43.2,11904,11247,94.5"
"NORTHEAST,Total,24043,13716,57.0,14510,4817,33.2,9532,8898,93.3"
"NORTHEAST,Families,14135,6581,46.6,9995,2695,27.0,4140,3886,93.9"
"NORTHEAST,Married-couple families,9909,3393,34.2,8021,1726,21.5,1887,1667,88.3"
"NORTHEAST,With children under 18 years,4046,1550,38.3,3246,837,25.8,801,713,89.0"
"NORTHEAST,With no children under 18 years,5862,1843,31.4,4776,889,18.6,1086,953,87.8"
"NORTHEAST,Male householder no wife present,1077,785,72.9,507,237,46.7,570,548,96.1"
"NORTHEAST,With children under 18 years,541,452,83.5,228,145,63.6,314,307,97.8"
"NORTHEAST,With no children under 18 years,535,333,62.2,279,92,33.0,256,241,94.1"
"NORTHEAST,Female householder no husband present,3151,2403,76.3,1467,732,49.9,1683,1671,99.3"
"NORTHEAST,With children under 18 years,1889,1630,86.3,713,455,63.8,1175,1175,100.0"
"NORTHEAST,With no children under 18 years,1261,773,61.3,753,277,36.8,507,496,97.8"
"NORTHEAST,Unrelated individuals,9908,7135,72.0,4515,2123,47.0,5393,5012,92.9"
"NORTHEAST,Male,4742,3494,73.7,1994,981,49.2,2748,2513,91.4"
"NORTHEAST,Female,5166,3641,70.5,2522,1142,45.3,2645,2499,94.5"
"MIDWEST,Total,29195,15085,51.7,20025,6732,33.6,9170,8354,91.1"
"MIDWEST,Families,17838,7840,44.0,13790,4159,30.2,4049,3681,90.9"
"MIDWEST,Married-couple families,13081,4341,33.2,11271,2859,25.4,1810,1482,81.9"
"MIDWEST,With children under 18 years,5318,2367,44.5,4355,1528,35.1,962,839,87.2"
